"","GSM1545535_10_6_5_11","GSM1545536_9_6_5_11","GSM1545538_purep53","GSM1545539_JMS8.2","GSM1545540_JMS8.3","GSM1545541_JMS8.4","GSM1545542_JMS8.5","GSM1545544_JMS9.P7c","GSM1545545_JMS9.P8c"
"6823",1,21,4,0,22,12,1,11,10
"6824",20,75,57,46,119,78,57,29,43
"6825",0,0,0,0,0,0,0,0,0
"6826",3794,4430,8542,7021,8956,5138,6306,2975,2191
"6827",42,48,169,166,126,88,139,30,42
"6828",136,71,399,407,191,218,356,38,79
"6829",8426,3503,12442,11411,11827,16721,13319,1747,3876
"6830",493,724,755,605,1362,925,700,436,366
"6831",0,0,0,0,0,0,3,0,0
"6832",0,0,0,0,0,0,1,2,0
"6833",0,0,0,0,0,0,0,0,0
"6834",0,0,0,1,3,3,1,0,1
"6835",0,0,0,0,0,0,0,0,0
"6836",2,0,0,0,1,0,0,0,0
"6837",1049,1496,3356,2597,3429,2265,2990,1089,1002
"6838",4525,2201,7781,5499,7356,11519,11995,1636,2901
"6839",1574,2105,4911,3804,4862,3266,3976,1451,1115
"6840",0,0,0,0,0,0,0,0,0
"6841",0,0,0,0,0,0,0,0,0
"6842",59,151,245,162,285,152,210,62,52
"6843",839,1116,3884,2416,2621,2246,5513,841,579
"6844",0,0,0,1,1,0,0,1,0
"6845",0,4,13,8,7,9,5,5,2
"6846",143,240,140,145,441,246,78,172,93
"6847",809,1643,1358,1240,2876,1512,1038,1004,655
"6848",4173,5552,15264,9753,12205,9512,14340,4527,3191
"6849",41,28,121,143,77,82,144,13,25
"6850",397,172,678,699,563,680,698,105,211
"6851",8211,5093,7389,4425,9197,10527,5564,3677,4806
"6852",1416,1879,3806,3406,3865,2463,2950,1226,899
"6853",108,180,303,287,300,187,259,144,87
"6854",486,692,1682,1229,1581,1124,1354,497,368
"6855",0,0,0,0,0,1,0,0,0
"6856",394,363,881,753,690,500,661,181,191
"6857",0,0,1,1,0,0,0,0,0
"6858",0,0,0,1,0,0,0,0,0
"6859",18,49,315,237,93,129,318,26,33
"6860",871,1282,2140,1984,2570,1591,1644,777,598
"6861",2,17,427,360,58,39,449,17,11
"6862",128,207,151,161,407,216,184,116,88
"6863",12445,4488,1627,1500,17994,27737,1454,1698,6484
"6864",15,107,4,1,167,42,3,36,13
"6865",445,589,396,344,834,475,321,385,300
"6866",1072,1879,1971,1737,3692,1940,1221,1043,752
"6867",576,778,1419,1233,1651,950,1085,515,362
"6868",7,6,3,3,15,6,6,8,8
"6869",384,549,2302,1895,942,574,1216,269,225
"6870",338,713,1437,1002,1211,647,915,347,233
"6871",13,23,42,36,38,21,60,29,10
"6872",3679,6168,4949,4998,11314,6838,4920,3594,2480
"6873",26,26,62,55,99,124,80,31,24
"6874",1808,2248,4793,4177,4887,3806,4078,1690,1312
"6875",8,10,11,11,22,19,23,6,11
"6876",1802,1210,2479,2884,3137,3092,2427,947,1282
"6877",61,90,112,110,124,95,84,54,32
"6878",0,1,2,2,18,1,5,6,0
"6879",7,4,25,48,26,29,31,4,4
"6880",4800,6921,7887,7417,14632,9248,7868,4155,3268
"6881",344,506,1055,1034,1185,686,822,270,237
"6882",15,15,28,22,35,28,29,7,10
"6883",379,789,1272,967,1570,910,788,448,322
"6884",4039,5700,9361,9876,10786,7345,9562,3518,2634
"6885",815,742,1032,777,1895,1953,1458,485,548
"6886",595,1193,3619,3569,2209,1084,2894,877,534
